fs/px   ss/px (1/d)/nm^-1    Intensity
2649.99 2908.99       3.48       67.26
1772.79 2984.07       3.17      140.60
2034.50 3013.00       3.19       98.94
2602.10 3013.70       3.65       68.89
1916.71 3036.90       3.26       81.61
1518.66 3063.68       3.59       91.71
2077.86 3141.64       3.55      195.38
1623.54 3155.50       3.73       56.58
1733.84 3217.18       3.81       41.47
1929.83 3343.17       4.07       38.19
